Tarih,Müşteri,Segment,Satış,Tahsilat,Gider,Stok
2022-06-30,Müşteri_B,D,13627,13171.91242385179,13566.650341643775,177
2022-06-30,Müşteri_C,B,15592,14456.924072704522,8183.06942652324,426
2022-07-31,Müşteri_0,C,16776,16776.0,16776.0,165
2022-07-31,Müşteri_4,A,15864,15864.0,15229.439999999999,308
2022-07-31,Müşteri_6,C,18901,18901.0,17766.94,460
2022-07-31,Müşteri_10,A,14413,14413.0,12971.7,214
2022-07-31,Müşteri_30,A,10663,10663.0,7464.099999999999,364
2022-07-31,Müşteri_A,B,11495,12428.48117300003,8925.858786769939,491
2022-07-31,Müşteri_B,D,11291,10169.949560865674,8119.170114917664,162
2022-07-31,Müşteri_C,A,13696,16422.821473292122,10840.188918590144,51
2022-08-31,Müşteri_0,B,10854,10854.0,10854.0,273
2022-08-31,Müşteri_4,A,16528,16528.0,15866.88,452
2022-08-31,Müşteri_6,B,15249,15249.0,14334.06,102
2022-08-31,Müşteri_10,D,15791,15791.0,14211.9,247
2022-08-31,Müşteri_30,D,14931,14931.0,10451.699999999999,488
2022-08-31,Müşteri_A,C,14218,12751.612000971378,12520.601934032355,374
2022-08-31,Müşteri_B,D,17777,18726.50306727857,15383.16329245699,289
2022-08-31,Müşteri_C,D,18800,16173.39593062003,13018.277981920666,398
2022-09-30,Müşteri_0,C,10659,10659.0,10659.0,301
2022-09-30,Müşteri_4,C,16546,16546.0,15884.16,395
2022-09-30,Müşteri_6,C,18338,18338.0,17237.719999999998,197
2022-09-30,Müşteri_10,D,11734,11734.0,10560.6,357
2022-09-30,Müşteri_30,A,12976,12976.0,9083.199999999999,473
2022-09-30,Müşteri_A,D,16694,19610.308172788416,11423.250943343659,490
2022-09-30,Müşteri_B,A,15534,17878.635806168062,11706.304555785704,301
2022-09-30,Müşteri_C,D,18815,19230.441308097554,15726.469270573842,51
2022-10-31,Müşteri_0,A,15423,15423.0,15423.0,303
2022-10-31,Müşteri_4,D,14548,14548.0,13966.08,86
2022-10-31,Müşteri_6,D,17158,17158.0,16128.519999999999,58
2022-10-31,Müşteri_10,A,13170,13170.0,11853.0,196
2022-10-31,Müşteri_30,D,12255,12255.0,8578.5,180
2022-10-31,Müşteri_A,D,16295,15672.583972582435,16184.482838998583,165
2022-10-31,Müşteri_B,C,11648,10071.460504709625,10465.582065009945,389
2022-10-31,Müşteri_C,B,12557,14767.70225477693,16011.11770985622,451
2022-11-30,Müşteri_0,D,14973,14973.0,14973.0,387
2022-11-30,Müşteri_4,B,12869,12869.0,12354.24,212
2022-11-30,Müşteri_6,D,10956,10956.0,10298.64,218
2022-11-30,Müşteri_10,D,18352,18352.0,16516.8,117
2022-11-30,Müşteri_30,A,14493,14493.0,10145.099999999999,326
2022-11-30,Müşteri_A,D,13987,13239.919555984185,12531.61449471423,244
2022-11-30,Müşteri_B,A,14735,15137.61090805927,8419.612766400307,420
2022-11-30,Müşteri_C,B,13446,12103.883845188273,10335.778856115487,279
2022-12-31,Müşteri_0,A,18754,18754.0,18754.0,487
2022-12-31,Müşteri_4,D,13354,13354.0,12819.84,76
2022-12-31,Müşteri_6,B,14893,14893.0,13999.42,146
2022-12-31,Müşteri_10,D,17022,17022.0,15319.800000000001,497
2022-12-31,Müşteri_30,A,17996,17996.0,12597.199999999999,353
2022-12-31,Müşteri_A,C,17683,14318.39169376296,12704.47094304426,66
2022-12-31,Müşteri_B,D,19435,19201.34865176559,12821.435681110588,55
2022-12-31,Müşteri_C,C,11060,12954.881320888097,9805.68555540586,230
2023-01-31,Müşteri_0,C,13170,13170.0,13170.0,237
2023-01-31,Müşteri_4,A,19331,19331.0,18557.76,240
2023-01-31,Müşteri_6,A,10980,10980.0,10321.199999999999,465
2023-01-31,Müşteri_10,C,11184,11184.0,10065.6,305
2023-01-31,Müşteri_30,C,18319,18319.0,12823.3,67
2023-01-31,Müşteri_A,A,15854,18036.86205322998,19083.182240613718,223
2023-01-31,Müşteri_B,D,17455,18649.92403446552,13338.203153060176,176
2023-01-31,Müşteri_C,C,11409,10599.192667679277,10696.725134427532,442
2023-02-28,Müşteri_0,C,17343,17343.0,17343.0,88
2023-02-28,Müşteri_4,A,15801,15801.0,15168.96,296
2023-02-28,Müşteri_6,B,15986,15986.0,15026.839999999998,355
2023-02-28,Müşteri_10,A,18716,18716.0,16844.4,365
2023-02-28,Müşteri_30,B,12950,12950.0,9065.0,362
2023-02-28,Müşteri_A,D,14780,12972.547613163195,7038.44446068341,449
2023-02-28,Müşteri_B,B,19163,22126.497770136597,11429.886349837438,403
2023-02-28,Müşteri_C,B,15919,16417.456625807237,8562.77674555816,202
2023-03-31,Müşteri_0,B,10574,10574.0,10574.0,239
2023-03-31,Müşteri_4,A,16293,16293.0,15641.279999999999,363
2023-03-31,Müşteri_6,B,17509,17509.0,16458.46,354
2023-03-31,Müşteri_10,D,14777,14777.0,13299.300000000001,375
2023-03-31,Müşteri_30,C,12491,12491.0,8743.699999999999,150
2023-03-31,Müşteri_A,A,13124,11924.691690887317,12868.544134328411,152
2023-03-31,Müşteri_B,D,14869,12202.582204822413,9991.630245385277,96
2023-03-31,Müşteri_C,C,16966,14511.719426384168,8411.67830682821,419
2023-04-30,Müşteri_0,D,11693,11693.0,11693.0,196
2023-04-30,Müşteri_4,A,18311,18311.0,17578.559999999998,368
2023-04-30,Müşteri_6,C,15177,15177.0,14266.38,488
2023-04-30,Müşteri_10,B,18932,18932.0,17038.8,166
2023-04-30,Müşteri_30,B,12838,12838.0,8986.599999999999,176
2023-04-30,Müşteri_A,A,11931,11496.487031922661,6943.609058001532,50
2023-04-30,Müşteri_B,C,17805,14912.56557195896,9092.483489626105,286
2023-04-30,Müşteri_C,A,13343,13432.111265137071,12011.891119366303,118
2023-05-31,Müşteri_0,B,17004,17004.0,17004.0,296
2023-05-31,Müşteri_4,C,13147,13147.0,12621.119999999999,203
2023-05-31,Müşteri_6,D,13506,13506.0,12695.64,135
2023-05-31,Müşteri_10,A,19435,19435.0,17491.5,118
2023-05-31,Müşteri_30,C,12141,12141.0,8498.699999999999,287
2023-05-31,Müşteri_A,B,16617,16561.27239872656,12985.413180765903,338
2023-05-31,Müşteri_B,B,19949,21144.13407801619,11181.765641128475,295
2023-05-31,Müşteri_C,A,12849,11620.088866527074,5916.748504204906,196
2023-06-30,Müşteri_0,B,19823,19823.0,19823.0,306
2023-06-30,Müşteri_4,D,19540,19540.0,18758.399999999998,53
2023-06-30,Müşteri_6,D,12839,12839.0,12068.66,385
2023-06-30,Müşteri_10,C,19087,19087.0,17178.3,209
2023-06-30,Müşteri_30,C,10851,10851.0,7595.7,201
2023-06-30,Müşteri_A,D,16833,17326.99496498546,9999.41246658242,494
2023-06-30,Müşteri_B,C,15732,16524.513156015175,16396.549082075384,217
2023-06-30,Müşteri_C,B,11066,9719.449879031343,5264.217151956022,144
2023-07-31,Müşteri_0,B,18945,18945.0,18945.0,84
2023-07-31,Müşteri_4,C,18967,18967.0,18208.32,142
2023-07-31,Müşteri_6,B,19817,19817.0,18627.98,467
2023-07-31,Müşteri_10,C,18808,18808.0,16927.2,440
2023-07-31,Müşteri_30,D,10825,10825.0,7577.499999999999,163
2023-07-31,Müşteri_A,A,10412,8492.803213338731,6376.121647363109,298
2023-07-31,Müşteri_B,D,15988,17590.73145969362,17311.053668328226,226
2023-07-31,Müşteri_C,C,14079,11982.297480215557,7788.611621780521,145
2023-08-31,Müşteri_0,D,16806,16806.0,16806.0,239
2023-08-31,Müşteri_4,D,13440,13440.0,12902.4,232
2023-08-31,Müşteri_6,A,12914,12914.0,12139.16,410
2023-08-31,Müşteri_10,B,18787,18787.0,16908.3,417
2023-08-31,Müşteri_30,A,11365,11365.0,7955.499999999999,446
2023-08-31,Müşteri_A,C,17186,16424.32802029013,8318.964695874267,282
2023-08-31,Müşteri_B,C,14171,13348.544581618886,14337.411853315192,272
2023-08-31,Müşteri_C,D,14946,14904.30459242296,8196.93003556433,118
2023-09-30,Müşteri_0,C,14491,14491.0,14491.0,74
2023-09-30,Müşteri_4,D,15588,15588.0,14964.48,102
2023-09-30,Müşteri_6,C,11167,11167.0,10496.98,106
2023-09-30,Müşteri_10,C,12156,12156.0,10940.4,230
2023-09-30,Müşteri_30,B,15305,15305.0,10713.5,472
2023-09-30,Müşteri_A,B,14729,14384.521101891389,14853.780280420104,284
2023-09-30,Müşteri_B,C,16801,19950.528524283774,18211.20166827811,491
2023-09-30,Müşteri_C,D,17056,14334.699345580124,7890.737139935355,190
2023-10-31,Müşteri_0,D,16313,16313.0,16313.0,442
2023-10-31,Müşteri_4,B,16938,16938.0,16260.48,171
2023-10-31,Müşteri_6,B,11540,11540.0,10847.599999999999,78
2023-10-31,Müşteri_10,A,15541,15541.0,13986.9,388
2023-10-31,Müşteri_30,D,19580,19580.0,13706.0,370
2023-10-31,Müşteri_A,B,18691,16722.353182044695,17468.441434230084,350
2023-10-31,Müşteri_B,D,13141,14235.283636463531,11231.641533425915,413
2023-10-31,Müşteri_C,B,14186,12760.160341899225,8908.525305110468,175
2023-11-30,Müşteri_0,C,14268,14268.0,14268.0,190
2023-11-30,Müşteri_4,B,19435,19435.0,18657.6,175
2023-11-30,Müşteri_6,B,16619,16619.0,15621.859999999999,366
2023-11-30,Müşteri_10,C,19576,19576.0,17618.4,472
2023-11-30,Müşteri_30,A,16530,16530.0,11571.0,397
2023-11-30,Müşteri_A,B,10504,9978.256226926795,6699.673155893531,361
2023-11-30,Müşteri_B,A,15029,14646.276485285971,14371.886542233373,222
2023-11-30,Müşteri_C,D,16316,13334.47884935424,13796.996825489887,423
2023-12-31,Müşteri_0,A,15348,15348.0,15348.0,213
2023-12-31,Müşteri_4,C,16190,16190.0,15542.4,282
2023-12-31,Müşteri_6,A,15645,15645.0,14706.3,192
2023-12-31,Müşteri_10,C,13584,13584.0,12225.6,422
2023-12-31,Müşteri_30,B,18053,18053.0,12637.099999999999,308
2023-12-31,Müşteri_A,D,18662,15268.848139972915,10208.414634870169,273
2023-12-31,Müşteri_B,D,15063,14427.472740973704,8137.868509220991,422
2023-12-31,Müşteri_C,D,19337,16924.67954623135,13171.107918940366,235
2024-01-31,Müşteri_0,D,10539,10539.0,10539.0,269
2024-01-31,Müşteri_4,A,14835,14835.0,14241.6,241
2024-01-31,Müşteri_6,C,17102,17102.0,16075.88,194
2024-01-31,Müşteri_10,A,16132,16132.0,14518.800000000001,261
2024-01-31,Müşteri_30,A,12779,12779.0,8945.3,289
2024-01-31,Müşteri_A,A,11581,9617.790638455164,10236.398240542676,420
2024-01-31,Müşteri_B,D,14804,15475.599424253372,11621.336727096937,361
2024-01-31,Müşteri_C,B,17409,17768.237309247885,10641.407215770003,338
2024-02-29,Müşteri_0,B,12193,12193.0,12193.0,273
2024-02-29,Müşteri_4,C,17449,17449.0,16751.04,112
2024-02-29,Müşteri_6,A,13925,13925.0,13089.5,364
2024-02-29,Müşteri_10,C,14784,14784.0,13305.6,466
2024-02-29,Müşteri_30,B,17266,17266.0,12086.199999999999,434
2024-02-29,Müşteri_A,A,18175,15087.860368762402,13805.824328109524,246
2024-02-29,Müşteri_B,C,19860,23805.2830337151,19835.96689151935,102
2024-02-29,Müşteri_C,A,14809,16880.171283416712,10945.252636140252,127
2024-03-31,Müşteri_0,A,15997,15997.0,15997.0,50
2024-03-31,Müşteri_4,C,14780,14780.0,14188.8,254
2024-03-31,Müşteri_6,D,15565,15565.0,14631.099999999999,498
2024-03-31,Müşteri_10,A,13419,13419.0,12077.1,144
2024-03-31,Müşteri_30,D,19766,19766.0,13836.199999999999,203
2024-03-31,Müşteri_A,B,18865,18685.4859179699,18663.491121083665,355
2024-03-31,Müşteri_B,D,11077,13150.498159910769,7272.8163871699335,300
2024-03-31,Müşteri_C,A,16544,14122.05917579496,7304.911982778315,256
2024-04-30,Müşteri_0,A,16996,16996.0,16996.0,447
2024-04-30,Müşteri_4,B,14530,14530.0,13948.8,152
2024-04-30,Müşteri_6,B,16881,16881.0,15868.14,343
2024-04-30,Müşteri_10,B,16241,16241.0,14616.9,387
2024-04-30,Müşteri_30,B,19550,19550.0,13685.0,396
2024-04-30,Müşteri_A,C,11331,11546.045641389534,8896.762384322197,384
2024-04-30,Müşteri_B,D,14637,15351.793212494154,15619.194204630818,182
2024-04-30,Müşteri_C,A,17043,16765.859059130646,16853.96111702987,322
2024-05-31,Müşteri_0,D,15971,15971.0,15971.0,118
2024-05-31,Müşteri_4,B,17941,17941.0,17223.36,102
2024-05-31,Müşteri_6,B,14300,14300.0,13442.0,175
2024-05-31,Müşteri_10,C,11906,11906.0,10715.4,160
2024-05-31,Müşteri_30,A,17830,17830.0,12481.0,232
2024-05-31,Müşteri_A,D,16238,15590.431735570059,14321.379076890715,437
2024-05-31,Müşteri_B,D,19911,19207.434575629097,19679.75620395172,204
2024-05-31,Müşteri_C,A,10671,9272.330138237037,5705.945427729519,452
2024-06-30,Müşteri_0,A,15124,15124.0,15124.0,141
2024-06-30,Müşteri_4,B,13900,13900.0,13344.0,71
2024-06-30,Müşteri_6,A,16981,16981.0,15962.14,50
2024-06-30,Müşteri_10,A,16376,16376.0,14738.4,61
2024-06-30,Müşteri_30,B,12593,12593.0,8815.099999999999,482
2024-06-30,Müşteri_A,B,19945,21463.969942805077,11238.261724164557,298
2024-06-30,Müşteri_B,C,15240,16384.73563541772,13222.386759496392,156
2024-06-30,Müşteri_C,C,14143,11659.930234490936,7766.989553777264,306
2024-07-31,Müşteri_0,D,11276,11276.0,11276.0,229
2024-07-31,Müşteri_4,C,10302,10302.0,9889.92,176
2024-07-31,Müşteri_6,D,18717,18717.0,17593.98,77
2024-07-31,Müşteri_10,C,12125,12125.0,10912.5,265
2024-07-31,Müşteri_30,B,10364,10364.0,7254.799999999999,203
2024-07-31,Müşteri_A,B,15126,16258.426173892314,16366.77888749365,412
2024-07-31,Müşteri_B,C,11531,9719.120185103584,7468.632831827077,276
2024-07-31,Müşteri_C,C,13086,11017.727165297618,10383.581205255865,77
2024-08-31,Müşteri_0,B,11062,11062.0,11062.0,490
2024-08-31,Müşteri_4,A,16229,16229.0,15579.84,175
2024-08-31,Müşteri_6,D,14632,14632.0,13754.08,194
2024-08-31,Müşteri_10,A,16168,16168.0,14551.2,117
2024-08-31,Müşteri_30,B,18258,18258.0,12780.599999999999,282
2024-08-31,Müşteri_A,A,19361,16161.945479064245,13289.384726724189,83
2024-08-31,Müşteri_B,C,17943,18564.0821216472,15569.23390341696,91
2024-08-31,Müşteri_C,A,12739,13482.535894929308,11358.591335911955,489
2024-09-30,Müşteri_0,C,10876,10876.0,10876.0,278
2024-09-30,Müşteri_4,A,19504,19504.0,18723.84,486
2024-09-30,Müşteri_6,B,11733,11733.0,11029.019999999999,119
2024-09-30,Müşteri_10,C,16767,16767.0,15090.300000000001,53
2024-09-30,Müşteri_30,B,16986,16986.0,11890.199999999999,495
2024-09-30,Müşteri_A,B,13735,15914.82924289758,8723.558438482656,292
2024-09-30,Müşteri_B,C,11063,11934.59386326389,13108.400802843644,55
2024-09-30,Müşteri_C,B,18659,22162.93952579404,22590.779017096283,183
2024-10-31,Müşteri_0,B,12551,12551.0,12551.0,484
2024-10-31,Müşteri_4,B,15560,15560.0,14937.599999999999,243
2024-10-31,Müşteri_6,C,16316,16316.0,15337.039999999999,349
2024-10-31,Müşteri_10,A,16469,16469.0,14822.1,459
2024-10-31,Müşteri_30,B,18915,18915.0,13240.5,274
2024-10-31,Müşteri_A,D,14208,14377.586819742923,13289.750670869316,191
2024-10-31,Müşteri_B,D,19765,20407.269378567173,12093.707596848215,405
2024-10-31,Müşteri_C,A,12026,12477.615252492515,9003.077158910079,59
2024-11-30,Müşteri_0,A,16038,16038.0,16038.0,187
2024-11-30,Müşteri_4,D,17041,17041.0,16359.359999999999,62
2024-11-30,Müşteri_6,D,11619,11619.0,10921.859999999999,370
2024-11-30,Müşteri_10,C,12832,12832.0,11548.800000000001,314
2024-11-30,Müşteri_30,C,13490,13490.0,9443.0,143
2024-11-30,Müşteri_A,C,17984,20506.993056374366,19432.113177583018,483
2024-11-30,Müşteri_B,B,11908,13007.667957889998,13827.206635214725,125
2024-11-30,Müşteri_C,C,19762,23132.997403591948,21582.113382778094,109
2024-12-31,Müşteri_0,D,15468,15468.0,15468.0,377
2024-12-31,Müşteri_4,C,19064,19064.0,18301.44,278
2024-12-31,Müşteri_6,B,16941,16941.0,15924.539999999999,340
2024-12-31,Müşteri_10,A,12898,12898.0,11608.2,428
2024-12-31,Müşteri_30,B,17577,17577.0,12303.9,111
2024-12-31,Müşteri_A,D,10600,12199.33029304758,8972.205638927351,345
2024-12-31,Müşteri_B,D,19510,21178.35827769096,22021.266831149023,174
2024-12-31,Müşteri_C,B,15984,17567.11533309488,14082.36591037926,202
2025-01-31,Müşteri_0,A,11248,11248.0,11248.0,499
2025-01-31,Müşteri_4,B,13687,13687.0,13139.519999999999,153
2025-01-31,Müşteri_6,C,11970,11970.0,11251.8,247
2025-01-31,Müşteri_10,B,11202,11202.0,10081.800000000001,91
2025-01-31,Müşteri_30,D,17667,17667.0,12366.9,64
2025-01-31,Müşteri_A,C,15788,15759.099285466324,14890.403311692688,460
2025-01-31,Müşteri_B,D,12204,10503.616092903398,7216.333403137965,460
2025-01-31,Müşteri_C,C,12336,10034.26244596023,8448.184820926732,59
2025-02-28,Müşteri_0,A,11865,11865.0,11865.0,402
2025-02-28,Müşteri_4,B,16028,16028.0,15386.88,208
2025-02-28,Müşteri_6,C,16371,16371.0,15388.74,414
2025-02-28,Müşteri_10,D,17863,17863.0,16076.7,64
2025-02-28,Müşteri_30,A,13719,13719.0,9603.3,310
2025-02-28,Müşteri_A,A,12371,13470.79460943625,12555.07588177933,144
2025-02-28,Müşteri_B,C,16898,17340.784021225445,16121.856003891842,332
2025-02-28,Müşteri_C,A,15779,13769.372149363879,14389.962389662685,87
2025-03-31,Müşteri_0,B,16166,16166.0,16166.0,352
2025-03-31,Müşteri_4,B,18554,18554.0,17811.84,445
2025-03-31,Müşteri_6,B,17783,17783.0,16716.02,495
2025-03-31,Müşteri_10,B,10984,10984.0,9885.6,160
2025-03-31,Müşteri_30,D,10827,10827.0,7578.9,220
2025-03-31,Müşteri_A,D,17147,17593.735479601666,16150.881929962801,425
2025-03-31,Müşteri_B,A,15959,16925.267728064566,16294.767673476943,336
2025-03-31,Müşteri_C,B,16024,15537.707950779773,14634.447248493201,345
2025-04-30,Müşteri_0,A,13797,13797.0,13797.0,316
2025-04-30,Müşteri_4,C,11792,11792.0,11320.32,351
2025-04-30,Müşteri_6,A,13476,13476.0,12667.439999999999,395
2025-04-30,Müşteri_10,B,19397,19397.0,17457.3,362
2025-04-30,Müşteri_30,A,11854,11854.0,8297.8,487
2025-04-30,Müşteri_A,C,16514,17116.929018356703,12656.285085344804,358
2025-04-30,Müşteri_B,A,18393,20621.15339202529,10367.887290148628,474
2025-04-30,Müşteri_C,C,18766,18124.23721086611,18452.483175246216,343
2025-05-31,Müşteri_0,B,18070,18070.0,18070.0,259
2025-05-31,Müşteri_4,C,18609,18609.0,17864.64,396
2025-05-31,Müşteri_6,A,16783,16783.0,15776.019999999999,476
2025-05-31,Müşteri_10,C,14971,14971.0,13473.9,300
2025-05-31,Müşteri_30,C,11205,11205.0,7843.499999999999,201
2025-05-31,Müşteri_A,A,11990,10385.801870384563,5404.018282705969,210
2025-05-31,Müşteri_B,A,14380,14843.544190799306,13052.797834198338,205
2025-05-31,Müşteri_C,B,15588,15682.61094454296,17020.726420779618,410
2025-06-30,Müşteri_0,A,14243,14243.0,14243.0,167
2025-06-30,Müşteri_4,B,15182,15182.0,14574.72,238
2025-06-30,Müşteri_6,D,16704,16704.0,15701.759999999998,376
2025-06-30,Müşteri_10,A,11759,11759.0,10583.1,190
2025-06-30,Müşteri_30,B,12482,12482.0,8737.4,428
2025-06-30,Müşteri_A,D,18914,17774.522280007634,13880.819380107823,354
2025-06-30,Müşteri_B,A,19692,19471.97691324244,16335.13256054484,67
2025-06-30,Müşteri_C,A,15490,15200.577620098778,12382.90980533242,162
2025-07-31,Müşteri_0,B,15797,15797.0,15797.0,484
2025-07-31,Müşteri_4,C,16016,16016.0,15375.359999999999,313
2025-07-31,Müşteri_6,A,18038,18038.0,16955.719999999998,180
2025-07-31,Müşteri_10,D,14873,14873.0,13385.7,415
2025-07-31,Müşteri_30,B,13451,13451.0,9415.699999999999,136
2025-07-31,Müşteri_A,C,17643,20040.95793895691,20445.710256115886,57
2025-07-31,Müşteri_B,A,15954,14237.826921906437,12858.689017019351,377
2025-07-31,Müşteri_C,B,13310,13679.717288572878,14123.983747625558,141
2025-08-31,Müşteri_0,C,17970,17970.0,17970.0,145
2025-08-31,Müşteri_4,D,19503,19503.0,18722.88,169
2025-08-31,Müşteri_6,B,12538,12538.0,11785.72,449
2025-08-31,Müşteri_10,D,15619,15619.0,14057.1,214
2025-08-31,Müşteri_30,B,16612,16612.0,11628.4,447
2025-08-31,Müşteri_A,C,10822,12537.658491214223,6366.637451631011,312
2025-08-31,Müşteri_B,A,12198,13896.586603402018,7972.001109757507,452
2025-08-31,Müşteri_C,D,11308,10952.587527239988,11342.532792816985,352
2025-09-30,Müşteri_0,A,16035,16035.0,16035.0,60
2025-09-30,Müşteri_4,B,11409,11409.0,10952.64,244
2025-09-30,Müşteri_6,C,14491,14491.0,13621.539999999999,69
2025-09-30,Müşteri_10,A,10804,10804.0,9723.6,471
2025-09-30,Müşteri_30,D,17083,17083.0,11958.099999999999,404
2025-09-30,Müşteri_A,D,11387,9747.787492981039,9953.27851059786,169
2025-09-30,Müşteri_B,C,18173,17962.668988721874,10944.012647442132,419
2025-09-30,Müşteri_C,C,12573,13788.491979914805,12675.864254860913,330
2025-10-31,Müşteri_0,C,17368,17368.0,17368.0,295
2025-10-31,Müşteri_4,B,12541,12541.0,12039.359999999999,53
2025-10-31,Müşteri_6,B,18633,18633.0,17515.02,78
2025-10-31,Müşteri_10,A,18996,18996.0,17096.4,124
2025-10-31,Müşteri_30,B,15475,15475.0,10832.5,90
2025-10-31,Müşteri_A,B,17184,16532.713257867123,13201.023297748441,125
2025-10-31,Müşteri_B,C,18041,15443.229782389266,10164.89262358297,336
2025-10-31,Müşteri_C,B,14263,12840.868564636028,11298.151694377171,358
2025-11-30,Müşteri_0,C,19900,19900.0,19900.0,450
2025-11-30,Müşteri_4,B,13028,13028.0,12506.88,239
2025-11-30,Müşteri_6,B,13629,13629.0,12811.259999999998,113
2025-11-30,Müşteri_10,B,13067,13067.0,11760.300000000001,359
2025-11-30,Müşteri_30,C,12866,12866.0,9006.199999999999,230
2025-11-30,Müşteri_A,D,15490,13912.183083585465,10205.662655506014,345
2025-11-30,Müşteri_B,C,17679,20617.346520337498,19234.32907430528,281
2025-11-30,Müşteri_C,C,11333,11224.431683248959,10081.81483507764,295
2025-12-31,Müşteri_0,B,16212,16212.0,16212.0,361
2025-12-31,Müşteri_4,A,19977,19977.0,19177.92,85
2025-12-31,Müşteri_6,C,11762,11762.0,11056.279999999999,293
2025-12-31,Müşteri_10,C,17101,17101.0,15390.9,414
2025-12-31,Müşteri_30,C,10481,10481.0,7336.7,250
2025-12-31,Müşteri_A,B,17617,14844.776570183063,8091.630434199889,66
2025-12-31,Müşteri_B,A,11240,12161.345271401533,10446.250631099698,74
2025-12-31,Müşteri_C,C,17970,20263.707459442147,19851.3314356372,221
